,keyword,volume,year,month,engine,total_volume_for_last_12_months,avg_volume_for_last_12_months,total_months_seen
0,active,0,2018,06,google,1544,129,12
1,active,19,2018,07,google,1544,129,12
2,active,35,2018,08,google,1544,129,12
3,active,103,2018,09,google,1544,129,12
4,active,149,2018,10,google,1544,129,12
5,active,75,2018,11,google,1544,129,12
6,active,338,2018,12,google,1544,129,12
7,active,213,2019,01,google,1544,129,12
8,active,170,2019,02,google,1544,129,12
9,active,183,2019,03,google,1544,129,12
10,active,78,2019,04,google,1544,129,12
11,active,119,2019,05,google,1544,129,12
12,athletic,0,2018,06,google,2683,224,12
13,athletic,255,2018,07,google,2683,224,12
14,athletic,385,2018,08,google,2683,224,12
15,athletic,295,2018,09,google,2683,224,12
16,athletic,269,2018,10,google,2683,224,12
17,athletic,182,2018,11,google,2683,224,12
18,athletic,111,2018,12,google,2683,224,12
19,athletic,231,2019,01,google,2683,224,12
20,athletic,168,2019,02,google,2683,224,12
21,athletic,156,2019,03,google,2683,224,12
22,athletic,158,2019,04,google,2683,224,12
23,athletic,162,2019,05,google,2683,224,12
24,relaxed,0,2018,06,google,211,18,12
25,relaxed,15,2018,07,google,211,18,12
26,relaxed,12,2018,08,google,211,18,12
27,relaxed,22,2018,09,google,211,18,12
28,relaxed,20,2018,10,google,211,18,12
29,relaxed,10,2018,11,google,211,18,12
30,relaxed,16,2018,12,google,211,18,12
31,relaxed,19,2019,01,google,211,18,12
32,relaxed,13,2019,02,google,211,18,12
33,relaxed,20,2019,03,google,211,18,12
34,relaxed,30,2019,04,google,211,18,12
35,relaxed,23,2019,05,google,211,18,12
36,active,0,2018,06,youtube,36632,3053,12
37,active,6180,2018,07,youtube,36632,3053,12
38,active,6180,2018,08,youtube,36632,3053,12
39,active,3643,2018,09,youtube,36632,3053,12
40,active,9417,2018,10,youtube,36632,3053,12
41,active,3288,2018,11,youtube,36632,3053,12
42,active,989,2018,12,youtube,36632,3053,12
43,active,1468,2019,01,youtube,36632,3053,12
44,active,315,2019,02,youtube,36632,3053,12
45,active,2370,2019,03,youtube,36632,3053,12
46,active,2185,2019,04,youtube,36632,3053,12
47,active,597,2019,05,youtube,36632,3053,12
48,athletic,0,2018,06,youtube,3777,315,12
49,athletic,716,2018,07,youtube,3777,315,12
50,athletic,2,2018,08,youtube,3777,315,12
51,athletic,1,2018,09,youtube,3777,315,12
52,athletic,716,2018,10,youtube,3777,315,12
53,athletic,490,2018,11,youtube,3777,315,12
54,athletic,4,2018,12,youtube,3777,315,12
55,athletic,4,2019,01,youtube,3777,315,12
56,athletic,2,2019,02,youtube,3777,315,12
57,athletic,6,2019,03,youtube,3777,315,12
58,athletic,847,2019,04,youtube,3777,315,12
59,athletic,989,2019,05,youtube,3777,315,12
60,relaxed,0,2018,06,youtube,1,1,7
61,relaxed,0,2018,07,youtube,1,1,7
62,relaxed,0,2018,08,youtube,1,1,7
63,relaxed,0,2018,09,youtube,1,1,7
64,relaxed,1,2018,10,youtube,1,1,7
65,relaxed,0,2018,11,youtube,1,1,7
66,relaxed,0,2018,12,youtube,1,1,7
67,relaxed,0,2019,01,youtube,1,1,7
68,relaxed,0,2019,02,youtube,1,1,7
69,relaxed,0,2019,03,youtube,1,1,7
70,relaxed,0,2019,04,youtube,1,1,7
71,relaxed,0,2019,05,youtube,1,1,7
72,active,0,2018,06,amazon,78967,6581,12
73,active,4485,2018,07,amazon,78967,6581,12
74,active,3306,2018,08,amazon,78967,6581,12
75,active,2441,2018,09,amazon,78967,6581,12
76,active,4241,2018,10,amazon,78967,6581,12
77,active,14936,2018,11,amazon,78967,6581,12
78,active,7692,2018,12,amazon,78967,6581,12
79,active,4734,2019,01,amazon,78967,6581,12
80,active,7692,2019,02,amazon,78967,6581,12
81,active,5242,2019,03,amazon,78967,6581,12
82,active,7692,2019,04,amazon,78967,6581,12
83,active,16506,2019,05,amazon,78967,6581,12
84,athletic,0,2018,06,amazon,38461,3206,12
85,athletic,4986,2018,07,amazon,38461,3206,12
86,athletic,3306,2018,08,amazon,38461,3206,12
87,athletic,3084,2018,09,amazon,38461,3206,12
88,athletic,4485,2018,10,amazon,38461,3206,12
89,athletic,2441,2018,11,amazon,38461,3206,12
90,athletic,1252,2018,12,amazon,38461,3206,12
91,athletic,2651,2019,01,amazon,38461,3206,12
92,athletic,4241,2019,02,amazon,38461,3206,12
93,athletic,4485,2019,03,amazon,38461,3206,12
94,athletic,3765,2019,04,amazon,38461,3206,12
95,athletic,3765,2019,05,amazon,38461,3206,12
96,relaxed,0,2018,06,amazon,9552,796,12
97,relaxed,1061,2018,07,amazon,9552,796,12
98,relaxed,873,2018,08,amazon,9552,796,12
99,relaxed,873,2018,09,amazon,9552,796,12
100,relaxed,1252,2018,10,amazon,9552,796,12
101,relaxed,337,2018,11,amazon,9552,796,12
102,relaxed,187,2018,12,amazon,9552,796,12
103,relaxed,507,2019,01,amazon,9552,796,12
104,relaxed,507,2019,02,amazon,9552,796,12
105,relaxed,873,2019,03,amazon,9552,796,12
106,relaxed,1638,2019,04,amazon,9552,796,12
107,relaxed,1444,2019,05,amazon,9552,796,12
