,keyword,volume,year,month,engine,total_volume_for_last_12_months,avg_volume_for_last_12_months,total_months_seen
0,stripe,0,2018,06,google,6365,530,12
1,stripe,636,2018,07,google,6365,530,12
2,stripe,738,2018,08,google,6365,530,12
3,stripe,772,2018,09,google,6365,530,12
4,stripe,757,2018,10,google,6365,530,12
5,stripe,479,2018,11,google,6365,530,12
6,stripe,286,2018,12,google,6365,530,12
7,stripe,474,2019,01,google,6365,530,12
8,stripe,425,2019,02,google,6365,530,12
9,stripe,429,2019,03,google,6365,530,12
10,stripe,402,2019,04,google,6365,530,12
11,stripe,436,2019,05,google,6365,530,12
12,stretch,0,2018,06,google,736,61,12
13,stretch,50,2018,07,google,736,61,12
14,stretch,52,2018,08,google,736,61,12
15,stretch,54,2018,09,google,736,61,12
16,stretch,93,2018,10,google,736,61,12
17,stretch,20,2018,11,google,736,61,12
18,stretch,51,2018,12,google,736,61,12
19,stretch,100,2019,01,google,736,61,12
20,stretch,65,2019,02,google,736,61,12
21,stretch,67,2019,03,google,736,61,12
22,stretch,74,2019,04,google,736,61,12
23,stretch,71,2019,05,google,736,61,12
24,stretchy,0,2018,06,google,86,7,11
25,stretchy,2,2018,07,google,86,7,11
26,stretchy,8,2018,08,google,86,7,11
27,stretchy,4,2018,09,google,86,7,11
28,stretchy,0,2018,10,google,86,7,11
29,stretchy,7,2018,11,google,86,7,11
30,stretchy,8,2018,12,google,86,7,11
31,stretchy,4,2019,01,google,86,7,11
32,stretchy,4,2019,02,google,86,7,11
33,stretchy,9,2019,03,google,86,7,11
34,stretchy,24,2019,04,google,86,7,11
35,stretchy,13,2019,05,google,86,7,11
36,stripe,0,2018,06,youtube,22,2,10
37,stripe,2,2018,07,youtube,22,2,10
38,stripe,2,2018,08,youtube,22,2,10
39,stripe,4,2018,09,youtube,22,2,10
40,stripe,0,2018,10,youtube,22,2,10
41,stripe,2,2018,11,youtube,22,2,10
42,stripe,0,2018,12,youtube,22,2,10
43,stripe,6,2019,01,youtube,22,2,10
44,stripe,2,2019,02,youtube,22,2,10
45,stripe,2,2019,03,youtube,22,2,10
46,stripe,1,2019,04,youtube,22,2,10
47,stripe,1,2019,05,youtube,22,2,10
48,stretch,0,2018,06,youtube,37229,3103,12
49,stretch,6933,2018,07,youtube,37229,3103,12
50,stretch,3288,2018,08,youtube,37229,3103,12
51,stretch,3988,2018,09,youtube,37229,3103,12
52,stretch,2555,2018,10,youtube,37229,3103,12
53,stretch,3288,2018,11,youtube,37229,3103,12
54,stretch,490,2018,12,youtube,37229,3103,12
55,stretch,4323,2019,01,youtube,37229,3103,12
56,stretch,3467,2019,02,youtube,37229,3103,12
57,stretch,4157,2019,03,youtube,37229,3103,12
58,stretch,2555,2019,04,youtube,37229,3103,12
59,stretch,2185,2019,05,youtube,37229,3103,12
60,stretchy,0,2018,06,youtube,454,38,10
61,stretchy,0,2018,07,youtube,454,38,10
62,stretchy,2,2018,08,youtube,454,38,10
63,stretchy,0,2018,09,youtube,454,38,10
64,stretchy,1,2018,10,youtube,454,38,10
65,stretchy,0,2018,11,youtube,454,38,10
66,stretchy,0,2018,12,youtube,454,38,10
67,stretchy,190,2019,01,youtube,454,38,10
68,stretchy,3,2019,02,youtube,454,38,10
69,stretchy,5,2019,03,youtube,454,38,10
70,stretchy,247,2019,04,youtube,454,38,10
71,stretchy,6,2019,05,youtube,454,38,10
72,stripe,0,2018,06,amazon,1242,104,9
73,stripe,16,2018,07,amazon,1242,104,9
74,stripe,73,2018,08,amazon,1242,104,9
75,stripe,187,2018,09,amazon,1242,104,9
76,stripe,16,2018,10,amazon,1242,104,9
77,stripe,73,2018,11,amazon,1242,104,9
78,stripe,337,2018,12,amazon,1242,104,9
79,stripe,187,2019,01,amazon,1242,104,9
80,stripe,337,2019,02,amazon,1242,104,9
81,stripe,16,2019,03,amazon,1242,104,9
82,stripe,0,2019,04,amazon,1242,104,9
83,stripe,0,2019,05,amazon,1242,104,9
84,stretch,0,2018,06,amazon,10136,845,12
85,stretch,2651,2018,07,amazon,10136,845,12
86,stretch,688,2018,08,amazon,10136,845,12
87,stretch,1061,2018,09,amazon,10136,845,12
88,stretch,873,2018,10,amazon,10136,845,12
89,stretch,688,2018,11,amazon,10136,845,12
90,stretch,337,2018,12,amazon,10136,845,12
91,stretch,1252,2019,01,amazon,10136,845,12
92,stretch,688,2019,02,amazon,10136,845,12
93,stretch,873,2019,03,amazon,10136,845,12
94,stretch,337,2019,04,amazon,10136,845,12
95,stretch,688,2019,05,amazon,10136,845,12
96,stretchy,0,2018,06,amazon,324,27,6
97,stretchy,16,2018,07,amazon,324,27,6
98,stretchy,16,2018,08,amazon,324,27,6
99,stretchy,0,2018,09,amazon,324,27,6
100,stretchy,187,2018,10,amazon,324,27,6
101,stretchy,0,2018,11,amazon,324,27,6
102,stretchy,16,2018,12,amazon,324,27,6
103,stretchy,16,2019,01,amazon,324,27,6
104,stretchy,73,2019,02,amazon,324,27,6
105,stretchy,0,2019,03,amazon,324,27,6
106,stretchy,0,2019,04,amazon,324,27,6
107,stretchy,0,2019,05,amazon,324,27,6
