,keyword,volume,year,month,engine,total_volume_for_last_12_months,avg_volume_for_last_12_months,total_months_seen
0,padded,0,2018,06,google,83,7,12
1,padded,8,2018,07,google,83,7,12
2,padded,6,2018,08,google,83,7,12
3,padded,9,2018,09,google,83,7,12
4,padded,16,2018,10,google,83,7,12
5,padded,9,2018,11,google,83,7,12
6,padded,7,2018,12,google,83,7,12
7,padded,7,2019,01,google,83,7,12
8,padded,3,2019,02,google,83,7,12
9,padded,6,2019,03,google,83,7,12
10,padded,5,2019,04,google,83,7,12
11,padded,1,2019,05,google,83,7,12
12,running,0,2018,06,google,2902,242,12
13,running,131,2018,07,google,2902,242,12
14,running,175,2018,08,google,2902,242,12
15,running,166,2018,09,google,2902,242,12
16,running,185,2018,10,google,2902,242,12
17,running,126,2018,11,google,2902,242,12
18,running,246,2018,12,google,2902,242,12
19,running,386,2019,01,google,2902,242,12
20,running,301,2019,02,google,2902,242,12
21,running,343,2019,03,google,2902,242,12
22,running,280,2019,04,google,2902,242,12
23,running,377,2019,05,google,2902,242,12
24,ventilated,0,2018,06,google,39,3,11
25,ventilated,0,2018,07,google,39,3,11
26,ventilated,2,2018,08,google,39,3,11
27,ventilated,7,2018,09,google,39,3,11
28,ventilated,5,2018,10,google,39,3,11
29,ventilated,5,2018,11,google,39,3,11
30,ventilated,3,2018,12,google,39,3,11
31,ventilated,4,2019,01,google,39,3,11
32,ventilated,3,2019,02,google,39,3,11
33,ventilated,1,2019,03,google,39,3,11
34,ventilated,2,2019,04,google,39,3,11
35,ventilated,4,2019,05,google,39,3,11
36,padded,0,2018,06,youtube,6,1,2
37,padded,0,2018,07,youtube,6,1,2
38,padded,0,2018,08,youtube,6,1,2
39,padded,0,2018,09,youtube,6,1,2
40,padded,4,2018,10,youtube,6,1,2
41,padded,2,2018,11,youtube,6,1,2
42,padded,0,2018,12,youtube,6,1,2
43,padded,0,2019,01,youtube,6,1,2
44,padded,0,2019,02,youtube,6,1,2
45,padded,0,2019,03,youtube,6,1,2
46,padded,0,2019,04,youtube,6,1,2
47,padded,0,2019,05,youtube,6,1,2
48,running,0,2018,06,youtube,610916,50910,12
49,running,104887,2018,07,youtube,610916,50910,12
50,running,87298,2018,08,youtube,610916,50910,12
51,running,80037,2018,09,youtube,610916,50910,12
52,running,50695,2018,10,youtube,610916,50910,12
53,running,48830,2018,11,youtube,610916,50910,12
54,running,38895,2018,12,youtube,610916,50910,12
55,running,44015,2019,01,youtube,610916,50910,12
56,running,45793,2019,02,youtube,610916,50910,12
57,running,41130,2019,03,youtube,610916,50910,12
58,running,36728,2019,04,youtube,610916,50910,12
59,running,32608,2019,05,youtube,610916,50910,12
60,ventilated,0,2018,06,youtube,1,1,2
61,ventilated,0,2018,07,youtube,1,1,2
62,ventilated,0,2018,08,youtube,1,1,2
63,ventilated,1,2018,09,youtube,1,1,2
64,ventilated,0,2018,10,youtube,1,1,2
65,ventilated,0,2018,11,youtube,1,1,2
66,ventilated,0,2018,12,youtube,1,1,2
67,ventilated,0,2019,01,youtube,1,1,2
68,ventilated,0,2019,02,youtube,1,1,2
69,ventilated,0,2019,03,youtube,1,1,2
70,ventilated,0,2019,04,youtube,1,1,2
71,ventilated,0,2019,05,youtube,1,1,2
72,padded,0,2018,06,amazon,13413,1118,12
73,padded,873,2018,07,amazon,13413,1118,12
74,padded,1834,2018,08,amazon,13413,1118,12
75,padded,1061,2018,09,amazon,13413,1118,12
76,padded,1252,2018,10,amazon,13413,1118,12
77,padded,1252,2018,11,amazon,13413,1118,12
78,padded,1444,2018,12,amazon,13413,1118,12
79,padded,873,2019,01,amazon,13413,1118,12
80,padded,873,2019,02,amazon,13413,1118,12
81,padded,1252,2019,03,amazon,13413,1118,12
82,padded,1061,2019,04,amazon,13413,1118,12
83,padded,1638,2019,05,amazon,13413,1118,12
84,running,0,2018,06,amazon,145252,12105,12
85,running,29527,2018,07,amazon,145252,12105,12
86,running,16821,2018,08,amazon,145252,12105,12
87,running,14312,2018,09,amazon,145252,12105,12
88,running,13690,2018,10,amazon,145252,12105,12
89,running,12763,2018,11,amazon,145252,12105,12
90,running,10029,2018,12,amazon,145252,12105,12
91,running,9731,2019,01,amazon,145252,12105,12
92,running,13690,2019,02,amazon,145252,12105,12
93,running,6302,2019,03,amazon,145252,12105,12
94,running,6850,2019,04,amazon,145252,12105,12
95,running,11537,2019,05,amazon,145252,12105,12
96,ventilated,0,2018,06,amazon,48,4,3
97,ventilated,0,2018,07,amazon,48,4,3
98,ventilated,16,2018,08,amazon,48,4,3
99,ventilated,16,2018,09,amazon,48,4,3
100,ventilated,0,2018,10,amazon,48,4,3
101,ventilated,0,2018,11,amazon,48,4,3
102,ventilated,0,2018,12,amazon,48,4,3
103,ventilated,0,2019,01,amazon,48,4,3
104,ventilated,0,2019,02,amazon,48,4,3
105,ventilated,0,2019,03,amazon,48,4,3
106,ventilated,16,2019,04,amazon,48,4,3
107,ventilated,0,2019,05,amazon,48,4,3
