,keyword,volume,year,month,engine,total_volume_for_last_12_months,avg_volume_for_last_12_months,total_months_seen
0,lightweight,0,2018,06,google,363,30,12
1,lightweight,29,2018,07,google,363,30,12
2,lightweight,39,2018,08,google,363,30,12
3,lightweight,34,2018,09,google,363,30,12
4,lightweight,59,2018,10,google,363,30,12
5,lightweight,31,2018,11,google,363,30,12
6,lightweight,17,2018,12,google,363,30,12
7,lightweight,24,2019,01,google,363,30,12
8,lightweight,26,2019,02,google,363,30,12
9,lightweight,25,2019,03,google,363,30,12
10,lightweight,34,2019,04,google,363,30,12
11,lightweight,22,2019,05,google,363,30,12
12,spandex,0,2018,06,google,664,55,12
13,spandex,58,2018,07,google,664,55,12
14,spandex,64,2018,08,google,664,55,12
15,spandex,40,2018,09,google,664,55,12
16,spandex,75,2018,10,google,664,55,12
17,spandex,51,2018,11,google,664,55,12
18,spandex,37,2018,12,google,664,55,12
19,spandex,53,2019,01,google,664,55,12
20,spandex,51,2019,02,google,664,55,12
21,spandex,86,2019,03,google,664,55,12
22,spandex,63,2019,04,google,664,55,12
23,spandex,64,2019,05,google,664,55,12
24,breathable,0,2018,06,google,37,3,9
25,breathable,2,2018,07,google,37,3,9
26,breathable,4,2018,08,google,37,3,9
27,breathable,2,2018,09,google,37,3,9
28,breathable,2,2018,10,google,37,3,9
29,breathable,3,2018,11,google,37,3,9
30,breathable,1,2018,12,google,37,3,9
31,breathable,0,2019,01,google,37,3,9
32,breathable,4,2019,02,google,37,3,9
33,breathable,0,2019,03,google,37,3,9
34,breathable,0,2019,04,google,37,3,9
35,breathable,5,2019,05,google,37,3,9
36,lightweight,0,2018,06,youtube,135,12,12
37,lightweight,2,2018,07,youtube,135,12,12
38,lightweight,5,2018,08,youtube,135,12,12
39,lightweight,1,2018,09,youtube,135,12,12
40,lightweight,109,2018,10,youtube,135,12,12
41,lightweight,2,2018,11,youtube,135,12,12
42,lightweight,1,2018,12,youtube,135,12,12
43,lightweight,3,2019,01,youtube,135,12,12
44,lightweight,5,2019,02,youtube,135,12,12
45,lightweight,5,2019,03,youtube,135,12,12
46,lightweight,2,2019,04,youtube,135,12,12
47,lightweight,0,2019,05,youtube,135,12,12
48,spandex,0,2018,06,youtube,461,39,12
49,spandex,0,2018,07,youtube,461,39,12
50,spandex,4,2018,08,youtube,461,39,12
51,spandex,3,2018,09,youtube,461,39,12
52,spandex,190,2018,10,youtube,461,39,12
53,spandex,145,2018,11,youtube,461,39,12
54,spandex,2,2018,12,youtube,461,39,12
55,spandex,109,2019,01,youtube,461,39,12
56,spandex,2,2019,02,youtube,461,39,12
57,spandex,2,2019,03,youtube,461,39,12
58,spandex,2,2019,04,youtube,461,39,12
59,spandex,2,2019,05,youtube,461,39,12
60,breathable,0,2018,06,youtube,1,1,2
61,breathable,0,2018,07,youtube,1,1,2
62,breathable,0,2018,08,youtube,1,1,2
63,breathable,1,2018,09,youtube,1,1,2
64,breathable,0,2018,10,youtube,1,1,2
65,breathable,0,2018,11,youtube,1,1,2
66,breathable,0,2018,12,youtube,1,1,2
67,breathable,0,2019,01,youtube,1,1,2
68,breathable,0,2019,02,youtube,1,1,2
69,breathable,0,2019,03,youtube,1,1,2
70,breathable,0,2019,04,youtube,1,1,2
71,breathable,0,2019,05,youtube,1,1,2
72,lightweight,0,2018,06,amazon,6271,523,11
73,lightweight,1638,2018,07,amazon,6271,523,11
74,lightweight,1444,2018,08,amazon,6271,523,11
75,lightweight,507,2018,09,amazon,6271,523,11
76,lightweight,337,2018,10,amazon,6271,523,11
77,lightweight,0,2018,11,amazon,6271,523,11
78,lightweight,187,2018,12,amazon,6271,523,11
79,lightweight,873,2019,01,amazon,6271,523,11
80,lightweight,73,2019,02,amazon,6271,523,11
81,lightweight,187,2019,03,amazon,6271,523,11
82,lightweight,337,2019,04,amazon,6271,523,11
83,lightweight,688,2019,05,amazon,6271,523,11
84,spandex,0,2018,06,amazon,10437,870,12
85,spandex,1252,2018,07,amazon,10437,870,12
86,spandex,688,2018,08,amazon,10437,870,12
87,spandex,2235,2018,09,amazon,10437,870,12
88,spandex,873,2018,10,amazon,10437,870,12
89,spandex,507,2018,11,amazon,10437,870,12
90,spandex,873,2018,12,amazon,10437,870,12
91,spandex,1061,2019,01,amazon,10437,870,12
92,spandex,507,2019,02,amazon,10437,870,12
93,spandex,873,2019,03,amazon,10437,870,12
94,spandex,507,2019,04,amazon,10437,870,12
95,spandex,1061,2019,05,amazon,10437,870,12
96,breathable,0,2018,06,amazon,356,30,9
97,breathable,73,2018,07,amazon,356,30,9
98,breathable,16,2018,08,amazon,356,30,9
99,breathable,0,2018,09,amazon,356,30,9
100,breathable,16,2018,10,amazon,356,30,9
101,breathable,0,2018,11,amazon,356,30,9
102,breathable,16,2018,12,amazon,356,30,9
103,breathable,16,2019,01,amazon,356,30,9
104,breathable,16,2019,02,amazon,356,30,9
105,breathable,187,2019,03,amazon,356,30,9
106,breathable,16,2019,04,amazon,356,30,9
107,breathable,0,2019,05,amazon,356,30,9
