,keyword,volume,year,month,engine,total_volume_for_last_12_months,avg_volume_for_last_12_months,total_months_seen
0,running gear,0,2018,06,google,65,5,12
1,running gear,6,2018,07,google,65,5,12
2,running gear,2,2018,08,google,65,5,12
3,running gear,2,2018,09,google,65,5,12
4,running gear,9,2018,10,google,65,5,12
5,running gear,7,2018,11,google,65,5,12
6,running gear,7,2018,12,google,65,5,12
7,running gear,4,2019,01,google,65,5,12
8,running gear,8,2019,02,google,65,5,12
9,running gear,1,2019,03,google,65,5,12
10,running gear,9,2019,04,google,65,5,12
11,running gear,7,2019,05,google,65,5,12
12,split back,0,2018,06,google,6,1,2
13,split back,0,2018,07,google,6,1,2
14,split back,0,2018,08,google,6,1,2
15,split back,4,2018,09,google,6,1,2
16,split back,0,2018,10,google,6,1,2
17,split back,0,2018,11,google,6,1,2
18,split back,0,2018,12,google,6,1,2
19,split back,0,2019,01,google,6,1,2
20,split back,0,2019,02,google,6,1,2
21,split back,0,2019,03,google,6,1,2
22,split back,1,2019,04,google,6,1,2
23,split back,0,2019,05,google,6,1,2
24,running gear,0,2018,06,youtube,4,1,5
25,running gear,0,2018,07,youtube,4,1,5
26,running gear,2,2018,08,youtube,4,1,5
27,running gear,1,2018,09,youtube,4,1,5
28,running gear,0,2018,10,youtube,4,1,5
29,running gear,0,2018,11,youtube,4,1,5
30,running gear,0,2018,12,youtube,4,1,5
31,running gear,0,2019,01,youtube,4,1,5
32,running gear,0,2019,02,youtube,4,1,5
33,running gear,0,2019,03,youtube,4,1,5
34,running gear,1,2019,04,youtube,4,1,5
35,running gear,0,2019,05,youtube,4,1,5
36,running gear,0,2018,06,amazon,4362,364,11
37,running gear,507,2018,07,amazon,4362,364,11
38,running gear,16,2018,08,amazon,4362,364,11
39,running gear,16,2018,09,amazon,4362,364,11
40,running gear,16,2018,10,amazon,4362,364,11
41,running gear,873,2018,11,amazon,4362,364,11
42,running gear,1834,2018,12,amazon,4362,364,11
43,running gear,73,2019,01,amazon,4362,364,11
44,running gear,337,2019,02,amazon,4362,364,11
45,running gear,337,2019,03,amazon,4362,364,11
46,running gear,337,2019,04,amazon,4362,364,11
47,running gear,16,2019,05,amazon,4362,364,11
48,split back,0,2018,06,amazon,187,16,1
49,split back,0,2018,07,amazon,187,16,1
50,split back,0,2018,08,amazon,187,16,1
51,split back,0,2018,09,amazon,187,16,1
52,split back,187,2018,10,amazon,187,16,1
53,split back,0,2018,11,amazon,187,16,1
54,split back,0,2018,12,amazon,187,16,1
55,split back,0,2019,01,amazon,187,16,1
56,split back,0,2019,02,amazon,187,16,1
57,split back,0,2019,03,amazon,187,16,1
58,split back,0,2019,04,amazon,187,16,1
59,split back,0,2019,05,amazon,187,16,1
