,keyword,volume,year,month,engine,total_volume_for_last_12_months,avg_volume_for_last_12_months,total_months_seen
0,stretchable,0,2018,06,google,7,1,3
1,stretchable,0,2018,07,google,7,1,3
2,stretchable,0,2018,08,google,7,1,3
3,stretchable,0,2018,09,google,7,1,3
4,stretchable,0,2018,10,google,7,1,3
5,stretchable,3,2018,11,google,7,1,3
6,stretchable,0,2018,12,google,7,1,3
7,stretchable,0,2019,01,google,7,1,3
8,stretchable,0,2019,02,google,7,1,3
9,stretchable,0,2019,03,google,7,1,3
10,stretchable,1,2019,04,google,7,1,3
11,stretchable,0,2019,05,google,7,1,3
12,flex,0,2018,06,google,2742,229,12
13,flex,288,2018,07,google,2742,229,12
14,flex,247,2018,08,google,2742,229,12
15,flex,252,2018,09,google,2742,229,12
16,flex,246,2018,10,google,2742,229,12
17,flex,203,2018,11,google,2742,229,12
18,flex,157,2018,12,google,2742,229,12
19,flex,300,2019,01,google,2742,229,12
20,flex,210,2019,02,google,2742,229,12
21,flex,210,2019,03,google,2742,229,12
22,flex,182,2019,04,google,2742,229,12
23,flex,169,2019,05,google,2742,229,12
24,flexing,0,2018,06,google,177,15,12
25,flexing,10,2018,07,google,177,15,12
26,flexing,12,2018,08,google,177,15,12
27,flexing,18,2018,09,google,177,15,12
28,flexing,2,2018,10,google,177,15,12
29,flexing,14,2018,11,google,177,15,12
30,flexing,20,2018,12,google,177,15,12
31,flexing,19,2019,01,google,177,15,12
32,flexing,17,2019,02,google,177,15,12
33,flexing,14,2019,03,google,177,15,12
34,flexing,20,2019,04,google,177,15,12
35,flexing,18,2019,05,google,177,15,12
36,stretchable,0,2018,06,youtube,1,1,1
37,stretchable,0,2018,07,youtube,1,1,1
38,stretchable,0,2018,08,youtube,1,1,1
39,stretchable,1,2018,09,youtube,1,1,1
40,stretchable,0,2018,10,youtube,1,1,1
41,stretchable,0,2018,11,youtube,1,1,1
42,stretchable,0,2018,12,youtube,1,1,1
43,stretchable,0,2019,01,youtube,1,1,1
44,stretchable,0,2019,02,youtube,1,1,1
45,stretchable,0,2019,03,youtube,1,1,1
46,stretchable,0,2019,04,youtube,1,1,1
47,stretchable,0,2019,05,youtube,1,1,1
48,flex,0,2018,06,youtube,347807,28984,12
49,flex,36728,2018,07,youtube,347807,28984,12
50,flex,43430,2018,08,youtube,347807,28984,12
51,flex,24030,2018,09,youtube,347807,28984,12
52,flex,14320,2018,10,youtube,347807,28984,12
53,flex,5880,2018,11,youtube,347807,28984,12
54,flex,167110,2018,12,youtube,347807,28984,12
55,flex,23230,2019,01,youtube,347807,28984,12
56,flex,10990,2019,02,youtube,347807,28984,12
57,flex,7395,2019,03,youtube,347807,28984,12
58,flex,8364,2019,04,youtube,347807,28984,12
59,flex,6330,2019,05,youtube,347807,28984,12
60,flexing,0,2018,06,youtube,168,14,12
61,flexing,0,2018,07,youtube,168,14,12
62,flexing,0,2018,08,youtube,168,14,12
63,flexing,4,2018,09,youtube,168,14,12
64,flexing,2,2018,10,youtube,168,14,12
65,flexing,0,2018,11,youtube,168,14,12
66,flexing,4,2018,12,youtube,168,14,12
67,flexing,1,2019,01,youtube,168,14,12
68,flexing,4,2019,02,youtube,168,14,12
69,flexing,4,2019,03,youtube,168,14,12
70,flexing,4,2019,04,youtube,168,14,12
71,flexing,145,2019,05,youtube,168,14,12
72,stretchable,0,2018,06,amazon,89,8,2
73,stretchable,73,2018,07,amazon,89,8,2
74,stretchable,16,2018,08,amazon,89,8,2
75,stretchable,0,2018,09,amazon,89,8,2
76,stretchable,0,2018,10,amazon,89,8,2
77,stretchable,0,2018,11,amazon,89,8,2
78,stretchable,0,2018,12,amazon,89,8,2
79,stretchable,0,2019,01,amazon,89,8,2
80,stretchable,0,2019,02,amazon,89,8,2
81,stretchable,0,2019,03,amazon,89,8,2
82,stretchable,0,2019,04,amazon,89,8,2
83,stretchable,0,2019,05,amazon,89,8,2
84,flex,0,2018,06,amazon,36776,3065,12
85,flex,4241,2018,07,amazon,36776,3065,12
86,flex,7128,2018,08,amazon,36776,3065,12
87,flex,2441,2018,09,amazon,36776,3065,12
88,flex,2651,2018,10,amazon,36776,3065,12
89,flex,2235,2018,11,amazon,36776,3065,12
90,flex,4001,2018,12,amazon,36776,3065,12
91,flex,4485,2019,01,amazon,36776,3065,12
92,flex,1834,2019,02,amazon,36776,3065,12
93,flex,3084,2019,03,amazon,36776,3065,12
94,flex,2235,2019,04,amazon,36776,3065,12
95,flex,2441,2019,05,amazon,36776,3065,12
