,keyword,volume,year,month,engine,total_volume_for_last_12_months,avg_volume_for_last_12_months,total_months_seen
0,slim,0,2018,06,google,1215,101,12
1,slim,106,2018,07,google,1215,101,12
2,slim,101,2018,08,google,1215,101,12
3,slim,126,2018,09,google,1215,101,12
4,slim,138,2018,10,google,1215,101,12
5,slim,170,2018,11,google,1215,101,12
6,slim,101,2018,12,google,1215,101,12
7,slim,124,2019,01,google,1215,101,12
8,slim,94,2019,02,google,1215,101,12
9,slim,58,2019,03,google,1215,101,12
10,slim,73,2019,04,google,1215,101,12
11,slim,48,2019,05,google,1215,101,12
12,activewear,0,2018,06,google,447,37,12
13,activewear,48,2018,07,google,447,37,12
14,activewear,60,2018,08,google,447,37,12
15,activewear,36,2018,09,google,447,37,12
16,activewear,50,2018,10,google,447,37,12
17,activewear,37,2018,11,google,447,37,12
18,activewear,23,2018,12,google,447,37,12
19,activewear,38,2019,01,google,447,37,12
20,activewear,38,2019,02,google,447,37,12
21,activewear,31,2019,03,google,447,37,12
22,activewear,27,2019,04,google,447,37,12
23,activewear,22,2019,05,google,447,37,12
24,sleeveless,0,2018,06,google,151,13,12
25,sleeveless,21,2018,07,google,151,13,12
26,sleeveless,19,2018,08,google,151,13,12
27,sleeveless,22,2018,09,google,151,13,12
28,sleeveless,14,2018,10,google,151,13,12
29,sleeveless,7,2018,11,google,151,13,12
30,sleeveless,7,2018,12,google,151,13,12
31,sleeveless,11,2019,01,google,151,13,12
32,sleeveless,11,2019,02,google,151,13,12
33,sleeveless,7,2019,03,google,151,13,12
34,sleeveless,10,2019,04,google,151,13,12
35,sleeveless,7,2019,05,google,151,13,12
36,slim,0,2018,06,youtube,83851,6988,12
37,slim,5730,2018,07,youtube,83851,6988,12
38,slim,2925,2018,08,youtube,83851,6988,12
39,slim,25691,2018,09,youtube,83851,6988,12
40,slim,3988,2018,10,youtube,83851,6988,12
41,slim,2001,2018,11,youtube,83851,6988,12
42,slim,9602,2018,12,youtube,83851,6988,12
43,slim,8705,2019,01,youtube,83851,6988,12
44,slim,5427,2019,02,youtube,83851,6988,12
45,slim,9235,2019,03,youtube,83851,6988,12
46,slim,5427,2019,04,youtube,83851,6988,12
47,slim,5120,2019,05,youtube,83851,6988,12
48,activewear,0,2018,06,youtube,117,10,7
49,activewear,2,2018,07,youtube,117,10,7
50,activewear,0,2018,08,youtube,117,10,7
51,activewear,0,2018,09,youtube,117,10,7
52,activewear,4,2018,10,youtube,117,10,7
53,activewear,0,2018,11,youtube,117,10,7
54,activewear,0,2018,12,youtube,117,10,7
55,activewear,0,2019,01,youtube,117,10,7
56,activewear,0,2019,02,youtube,117,10,7
57,activewear,0,2019,03,youtube,117,10,7
58,activewear,2,2019,04,youtube,117,10,7
59,activewear,109,2019,05,youtube,117,10,7
60,slim,0,2018,06,amazon,120865,10073,12
61,slim,16191,2018,07,amazon,120865,10073,12
62,slim,14624,2018,08,amazon,120865,10073,12
63,slim,14312,2018,09,amazon,120865,10073,12
64,slim,11233,2018,10,amazon,120865,10073,12
65,slim,10629,2018,11,amazon,120865,10073,12
66,slim,11537,2018,12,amazon,120865,10073,12
67,slim,7978,2019,01,amazon,120865,10073,12
68,slim,6850,2019,02,amazon,120865,10073,12
69,slim,9731,2019,03,amazon,120865,10073,12
70,slim,6850,2019,04,amazon,120865,10073,12
71,slim,10930,2019,05,amazon,120865,10073,12
72,activewear,0,2018,06,amazon,1108,93,11
73,activewear,187,2018,07,amazon,1108,93,11
74,activewear,16,2018,08,amazon,1108,93,11
75,activewear,16,2018,09,amazon,1108,93,11
76,activewear,337,2018,10,amazon,1108,93,11
77,activewear,16,2018,11,amazon,1108,93,11
78,activewear,16,2018,12,amazon,1108,93,11
79,activewear,73,2019,01,amazon,1108,93,11
80,activewear,73,2019,02,amazon,1108,93,11
81,activewear,187,2019,03,amazon,1108,93,11
82,activewear,0,2019,04,amazon,1108,93,11
83,activewear,187,2019,05,amazon,1108,93,11
84,sleeveless,0,2018,06,amazon,6607,551,12
85,sleeveless,2235,2018,07,amazon,6607,551,12
86,sleeveless,1061,2018,08,amazon,6607,551,12
87,sleeveless,507,2018,09,amazon,6607,551,12
88,sleeveless,337,2018,10,amazon,6607,551,12
89,sleeveless,337,2018,11,amazon,6607,551,12
90,sleeveless,16,2018,12,amazon,6607,551,12
91,sleeveless,73,2019,01,amazon,6607,551,12
92,sleeveless,73,2019,02,amazon,6607,551,12
93,sleeveless,187,2019,03,amazon,6607,551,12
94,sleeveless,337,2019,04,amazon,6607,551,12
95,sleeveless,1444,2019,05,amazon,6607,551,12
