,keyword,volume,year,month,engine,total_volume_for_last_12_months,avg_volume_for_last_12_months,total_months_seen
0,elastic,0,2018,06,google,1291,108,12
1,elastic,35,2018,07,google,1291,108,12
2,elastic,74,2018,08,google,1291,108,12
3,elastic,128,2018,09,google,1291,108,12
4,elastic,147,2018,10,google,1291,108,12
5,elastic,87,2018,11,google,1291,108,12
6,elastic,99,2018,12,google,1291,108,12
7,elastic,195,2019,01,google,1291,108,12
8,elastic,120,2019,02,google,1291,108,12
9,elastic,114,2019,03,google,1291,108,12
10,elastic,118,2019,04,google,1291,108,12
11,elastic,90,2019,05,google,1291,108,12
12,dri fit,0,2018,06,google,137,11,12
13,dri fit,21,2018,07,google,137,11,12
14,dri fit,14,2018,08,google,137,11,12
15,dri fit,16,2018,09,google,137,11,12
16,dri fit,20,2018,10,google,137,11,12
17,dri fit,5,2018,11,google,137,11,12
18,dri fit,6,2018,12,google,137,11,12
19,dri fit,7,2019,01,google,137,11,12
20,dri fit,8,2019,02,google,137,11,12
21,dri fit,17,2019,03,google,137,11,12
22,dri fit,6,2019,04,google,137,11,12
23,dri fit,8,2019,05,google,137,11,12
24,cropped,0,2018,06,google,110,9,12
25,cropped,10,2018,07,google,110,9,12
26,cropped,2,2018,08,google,110,9,12
27,cropped,7,2018,09,google,110,9,12
28,cropped,16,2018,10,google,110,9,12
29,cropped,5,2018,11,google,110,9,12
30,cropped,8,2018,12,google,110,9,12
31,cropped,11,2019,01,google,110,9,12
32,cropped,24,2019,02,google,110,9,12
33,cropped,10,2019,03,google,110,9,12
34,cropped,5,2019,04,google,110,9,12
35,cropped,4,2019,05,google,110,9,12
36,elastic,0,2018,06,youtube,45644,3804,12
37,elastic,2925,2018,07,youtube,45644,3804,12
38,elastic,6630,2018,08,youtube,45644,3804,12
39,elastic,5730,2018,09,youtube,45644,3804,12
40,elastic,4486,2018,10,youtube,45644,3804,12
41,elastic,3817,2018,11,youtube,45644,3804,12
42,elastic,4648,2018,12,youtube,45644,3804,12
43,elastic,3107,2019,01,youtube,45644,3804,12
44,elastic,4648,2019,02,youtube,45644,3804,12
45,elastic,2925,2019,03,youtube,45644,3804,12
46,elastic,3988,2019,04,youtube,45644,3804,12
47,elastic,2740,2019,05,youtube,45644,3804,12
48,dri fit,0,2018,06,youtube,1,1,1
49,dri fit,0,2018,07,youtube,1,1,1
50,dri fit,0,2018,08,youtube,1,1,1
51,dri fit,1,2018,09,youtube,1,1,1
52,dri fit,0,2018,10,youtube,1,1,1
53,dri fit,0,2018,11,youtube,1,1,1
54,dri fit,0,2018,12,youtube,1,1,1
55,dri fit,0,2019,01,youtube,1,1,1
56,dri fit,0,2019,02,youtube,1,1,1
57,dri fit,0,2019,03,youtube,1,1,1
58,dri fit,0,2019,04,youtube,1,1,1
59,dri fit,0,2019,05,youtube,1,1,1
60,cropped,0,2018,06,youtube,2,1,3
61,cropped,0,2018,07,youtube,2,1,3
62,cropped,0,2018,08,youtube,2,1,3
63,cropped,0,2018,09,youtube,2,1,3
64,cropped,0,2018,10,youtube,2,1,3
65,cropped,2,2018,11,youtube,2,1,3
66,cropped,0,2018,12,youtube,2,1,3
67,cropped,0,2019,01,youtube,2,1,3
68,cropped,0,2019,02,youtube,2,1,3
69,cropped,0,2019,03,youtube,2,1,3
70,cropped,0,2019,04,youtube,2,1,3
71,cropped,0,2019,05,youtube,2,1,3
72,elastic,0,2018,06,amazon,10613,885,12
73,elastic,1061,2018,07,amazon,10613,885,12
74,elastic,1638,2018,08,amazon,10613,885,12
75,elastic,1834,2018,09,amazon,10613,885,12
76,elastic,873,2018,10,amazon,10613,885,12
77,elastic,507,2018,11,amazon,10613,885,12
78,elastic,507,2018,12,amazon,10613,885,12
79,elastic,873,2019,01,amazon,10613,885,12
80,elastic,1252,2019,02,amazon,10613,885,12
81,elastic,873,2019,03,amazon,10613,885,12
82,elastic,507,2019,04,amazon,10613,885,12
83,elastic,688,2019,05,amazon,10613,885,12
84,dri fit,0,2018,06,amazon,7458,622,12
85,dri fit,2441,2018,07,amazon,7458,622,12
86,dri fit,507,2018,08,amazon,7458,622,12
87,dri fit,1444,2018,09,amazon,7458,622,12
88,dri fit,507,2018,10,amazon,7458,622,12
89,dri fit,337,2018,11,amazon,7458,622,12
90,dri fit,507,2018,12,amazon,7458,622,12
91,dri fit,337,2019,01,amazon,7458,622,12
92,dri fit,688,2019,02,amazon,7458,622,12
93,dri fit,16,2019,03,amazon,7458,622,12
94,dri fit,337,2019,04,amazon,7458,622,12
95,dri fit,337,2019,05,amazon,7458,622,12
96,cropped,0,2018,06,amazon,7720,644,12
97,cropped,688,2018,07,amazon,7720,644,12
98,cropped,507,2018,08,amazon,7720,644,12
99,cropped,1061,2018,09,amazon,7720,644,12
100,cropped,1638,2018,10,amazon,7720,644,12
101,cropped,337,2018,11,amazon,7720,644,12
102,cropped,1444,2018,12,amazon,7720,644,12
103,cropped,507,2019,01,amazon,7720,644,12
104,cropped,507,2019,02,amazon,7720,644,12
105,cropped,337,2019,03,amazon,7720,644,12
106,cropped,507,2019,04,amazon,7720,644,12
107,cropped,187,2019,05,amazon,7720,644,12
