,keyword,volume,year,month,engine,total_volume_for_last_12_months,avg_volume_for_last_12_months,total_months_seen
0,tank top,0,2018,06,google,654,55,12
1,tank top,89,2018,07,google,654,55,12
2,tank top,58,2018,08,google,654,55,12
3,tank top,49,2018,09,google,654,55,12
4,tank top,56,2018,10,google,654,55,12
5,tank top,39,2018,11,google,654,55,12
6,tank top,37,2018,12,google,654,55,12
7,tank top,61,2019,01,google,654,55,12
8,tank top,55,2019,02,google,654,55,12
9,tank top,55,2019,03,google,654,55,12
10,tank top,43,2019,04,google,654,55,12
11,tank top,60,2019,05,google,654,55,12
12,muscle tank,0,2018,06,google,63,5,11
13,muscle tank,10,2018,07,google,63,5,11
14,muscle tank,12,2018,08,google,63,5,11
15,muscle tank,4,2018,09,google,63,5,11
16,muscle tank,7,2018,10,google,63,5,11
17,muscle tank,0,2018,11,google,63,5,11
18,muscle tank,1,2018,12,google,63,5,11
19,muscle tank,4,2019,01,google,63,5,11
20,muscle tank,3,2019,02,google,63,5,11
21,muscle tank,2,2019,03,google,63,5,11
22,muscle tank,4,2019,04,google,63,5,11
23,muscle tank,7,2019,05,google,63,5,11
24,long sleeve,0,2018,06,google,204,17,12
25,long sleeve,8,2018,07,google,204,17,12
26,long sleeve,23,2018,08,google,204,17,12
27,long sleeve,13,2018,09,google,204,17,12
28,long sleeve,32,2018,10,google,204,17,12
29,long sleeve,15,2018,11,google,204,17,12
30,long sleeve,21,2018,12,google,204,17,12
31,long sleeve,20,2019,01,google,204,17,12
32,long sleeve,15,2019,02,google,204,17,12
33,long sleeve,17,2019,03,google,204,17,12
34,long sleeve,13,2019,04,google,204,17,12
35,long sleeve,17,2019,05,google,204,17,12
36,tank top,0,2018,06,youtube,17705,1476,7
37,tank top,0,2018,07,youtube,17705,1476,7
38,tank top,0,2018,08,youtube,17705,1476,7
39,tank top,0,2018,09,youtube,17705,1476,7
40,tank top,1,2018,10,youtube,17705,1476,7
41,tank top,109,2018,11,youtube,17705,1476,7
42,tank top,0,2018,12,youtube,17705,1476,7
43,tank top,0,2019,01,youtube,17705,1476,7
44,tank top,0,2019,02,youtube,17705,1476,7
45,tank top,1,2019,03,youtube,17705,1476,7
46,tank top,5274,2019,04,youtube,17705,1476,7
47,tank top,12320,2019,05,youtube,17705,1476,7
48,muscle tank,0,2018,06,youtube,1,1,1
49,muscle tank,0,2018,07,youtube,1,1,1
50,muscle tank,0,2018,08,youtube,1,1,1
51,muscle tank,1,2018,09,youtube,1,1,1
52,muscle tank,0,2018,10,youtube,1,1,1
53,muscle tank,0,2018,11,youtube,1,1,1
54,muscle tank,0,2018,12,youtube,1,1,1
55,muscle tank,0,2019,01,youtube,1,1,1
56,muscle tank,0,2019,02,youtube,1,1,1
57,muscle tank,0,2019,03,youtube,1,1,1
58,muscle tank,0,2019,04,youtube,1,1,1
59,muscle tank,0,2019,05,youtube,1,1,1
60,long sleeve,0,2018,06,youtube,2,1,5
61,long sleeve,2,2018,07,youtube,2,1,5
62,long sleeve,0,2018,08,youtube,2,1,5
63,long sleeve,0,2018,09,youtube,2,1,5
64,long sleeve,0,2018,10,youtube,2,1,5
65,long sleeve,0,2018,11,youtube,2,1,5
66,long sleeve,0,2018,12,youtube,2,1,5
67,long sleeve,0,2019,01,youtube,2,1,5
68,long sleeve,0,2019,02,youtube,2,1,5
69,long sleeve,0,2019,03,youtube,2,1,5
70,long sleeve,0,2019,04,youtube,2,1,5
71,long sleeve,0,2019,05,youtube,2,1,5
72,tank top,0,2018,06,amazon,54769,4565,12
73,tank top,15249,2018,07,amazon,54769,4565,12
74,tank top,6574,2018,08,amazon,54769,4565,12
75,tank top,4986,2018,09,amazon,54769,4565,12
76,tank top,4485,2018,10,amazon,54769,4565,12
77,tank top,1444,2018,11,amazon,54769,4565,12
78,tank top,1444,2018,12,amazon,54769,4565,12
79,tank top,1252,2019,01,amazon,54769,4565,12
80,tank top,2235,2019,02,amazon,54769,4565,12
81,tank top,7128,2019,03,amazon,54769,4565,12
82,tank top,4986,2019,04,amazon,54769,4565,12
83,tank top,4986,2019,05,amazon,54769,4565,12
84,muscle tank,0,2018,06,amazon,1903,159,10
85,muscle tank,507,2018,07,amazon,1903,159,10
86,muscle tank,73,2018,08,amazon,1903,159,10
87,muscle tank,507,2018,09,amazon,1903,159,10
88,muscle tank,0,2018,10,amazon,1903,159,10
89,muscle tank,16,2018,11,amazon,1903,159,10
90,muscle tank,73,2018,12,amazon,1903,159,10
91,muscle tank,16,2019,01,amazon,1903,159,10
92,muscle tank,337,2019,02,amazon,1903,159,10
93,muscle tank,0,2019,03,amazon,1903,159,10
94,muscle tank,187,2019,04,amazon,1903,159,10
95,muscle tank,187,2019,05,amazon,1903,159,10
96,long sleeve,0,2018,06,amazon,91037,7587,12
97,long sleeve,9140,2018,07,amazon,91037,7587,12
98,long sleeve,7128,2018,08,amazon,91037,7587,12
99,long sleeve,13071,2018,09,amazon,91037,7587,12
100,long sleeve,13690,2018,10,amazon,91037,7587,12
101,long sleeve,9435,2018,11,amazon,91037,7587,12
102,long sleeve,11233,2018,12,amazon,91037,7587,12
103,long sleeve,7128,2019,01,amazon,91037,7587,12
104,long sleeve,4734,2019,02,amazon,91037,7587,12
105,long sleeve,5502,2019,03,amazon,91037,7587,12
106,long sleeve,5242,2019,04,amazon,91037,7587,12
107,long sleeve,4734,2019,05,amazon,91037,7587,12
