,keyword,volume,year,month,engine,total_volume_for_last_12_months,avg_volume_for_last_12_months,total_months_seen
0,warm up,0,2018,06,google,349,29,12
1,warm up,12,2018,07,google,349,29,12
2,warm up,12,2018,08,google,349,29,12
3,warm up,22,2018,09,google,349,29,12
4,warm up,18,2018,10,google,349,29,12
5,warm up,9,2018,11,google,349,29,12
6,warm up,30,2018,12,google,349,29,12
7,warm up,60,2019,01,google,349,29,12
8,warm up,48,2019,02,google,349,29,12
9,warm up,45,2019,03,google,349,29,12
10,warm up,46,2019,04,google,349,29,12
11,warm up,35,2019,05,google,349,29,12
12,crop top,0,2018,06,google,1193,99,12
13,crop top,122,2018,07,google,1193,99,12
14,crop top,138,2018,08,google,1193,99,12
15,crop top,130,2018,09,google,1193,99,12
16,crop top,88,2018,10,google,1193,99,12
17,crop top,63,2018,11,google,1193,99,12
18,crop top,71,2018,12,google,1193,99,12
19,crop top,90,2019,01,google,1193,99,12
20,crop top,101,2019,02,google,1193,99,12
21,crop top,117,2019,03,google,1193,99,12
22,crop top,94,2019,04,google,1193,99,12
23,crop top,94,2019,05,google,1193,99,12
24,crop hoodie,0,2018,06,google,33,3,10
25,crop hoodie,0,2018,07,google,33,3,10
26,crop hoodie,0,2018,08,google,33,3,10
27,crop hoodie,4,2018,09,google,33,3,10
28,crop hoodie,5,2018,10,google,33,3,10
29,crop hoodie,3,2018,11,google,33,3,10
30,crop hoodie,4,2018,12,google,33,3,10
31,crop hoodie,3,2019,01,google,33,3,10
32,crop hoodie,4,2019,02,google,33,3,10
33,crop hoodie,1,2019,03,google,33,3,10
34,crop hoodie,1,2019,04,google,33,3,10
35,crop hoodie,4,2019,05,google,33,3,10
36,warm up,0,2018,06,youtube,2113,177,12
37,warm up,190,2018,07,youtube,2113,177,12
38,warm up,716,2018,08,youtube,2113,177,12
39,warm up,3,2018,09,youtube,2113,177,12
40,warm up,396,2018,10,youtube,2113,177,12
41,warm up,5,2018,11,youtube,2113,177,12
42,warm up,5,2018,12,youtube,2113,177,12
43,warm up,190,2019,01,youtube,2113,177,12
44,warm up,6,2019,02,youtube,2113,177,12
45,warm up,597,2019,03,youtube,2113,177,12
46,warm up,2,2019,04,youtube,2113,177,12
47,warm up,3,2019,05,youtube,2113,177,12
48,crop top,0,2018,06,youtube,463,39,12
49,crop top,2,2018,07,youtube,463,39,12
50,crop top,2,2018,08,youtube,463,39,12
51,crop top,2,2018,09,youtube,463,39,12
52,crop top,2,2018,10,youtube,463,39,12
53,crop top,109,2018,11,youtube,463,39,12
54,crop top,4,2018,12,youtube,463,39,12
55,crop top,2,2019,01,youtube,463,39,12
56,crop top,2,2019,02,youtube,463,39,12
57,crop top,145,2019,03,youtube,463,39,12
58,crop top,190,2019,04,youtube,463,39,12
59,crop top,3,2019,05,youtube,463,39,12
60,crop hoodie,0,2018,06,youtube,1,1,1
61,crop hoodie,0,2018,07,youtube,1,1,1
62,crop hoodie,0,2018,08,youtube,1,1,1
63,crop hoodie,1,2018,09,youtube,1,1,1
64,crop hoodie,0,2018,10,youtube,1,1,1
65,crop hoodie,0,2018,11,youtube,1,1,1
66,crop hoodie,0,2018,12,youtube,1,1,1
67,crop hoodie,0,2019,01,youtube,1,1,1
68,crop hoodie,0,2019,02,youtube,1,1,1
69,crop hoodie,0,2019,03,youtube,1,1,1
70,crop hoodie,0,2019,04,youtube,1,1,1
71,crop hoodie,0,2019,05,youtube,1,1,1
72,warm up,0,2018,06,amazon,48,4,3
73,warm up,0,2018,07,amazon,48,4,3
74,warm up,0,2018,08,amazon,48,4,3
75,warm up,16,2018,09,amazon,48,4,3
76,warm up,0,2018,10,amazon,48,4,3
77,warm up,16,2018,11,amazon,48,4,3
78,warm up,16,2018,12,amazon,48,4,3
79,warm up,0,2019,01,amazon,48,4,3
80,warm up,0,2019,02,amazon,48,4,3
81,warm up,0,2019,03,amazon,48,4,3
82,warm up,0,2019,04,amazon,48,4,3
83,warm up,0,2019,05,amazon,48,4,3
84,crop top,0,2018,06,amazon,70411,5868,12
85,crop top,9435,2018,07,amazon,70411,5868,12
86,crop top,9435,2018,08,amazon,70411,5868,12
87,crop top,6302,2018,09,amazon,70411,5868,12
88,crop top,6302,2018,10,amazon,70411,5868,12
89,crop top,4734,2018,11,amazon,70411,5868,12
90,crop top,5242,2018,12,amazon,70411,5868,12
91,crop top,5765,2019,01,amazon,70411,5868,12
92,crop top,6302,2019,02,amazon,70411,5868,12
93,crop top,7128,2019,03,amazon,70411,5868,12
94,crop top,4001,2019,04,amazon,70411,5868,12
95,crop top,5765,2019,05,amazon,70411,5868,12
96,crop hoodie,0,2018,06,amazon,816,68,7
97,crop hoodie,16,2018,07,amazon,816,68,7
98,crop hoodie,0,2018,08,amazon,816,68,7
99,crop hoodie,187,2018,09,amazon,816,68,7
100,crop hoodie,0,2018,10,amazon,816,68,7
101,crop hoodie,73,2018,11,amazon,816,68,7
102,crop hoodie,187,2018,12,amazon,816,68,7
103,crop hoodie,0,2019,01,amazon,816,68,7
104,crop hoodie,337,2019,02,amazon,816,68,7
105,crop hoodie,0,2019,03,amazon,816,68,7
106,crop hoodie,0,2019,04,amazon,816,68,7
107,crop hoodie,16,2019,05,amazon,816,68,7
